,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
15,2018-06-09,7615.54,4940704885521.0,17084375.0,171594.874782,129926671875.0,7603.44,7683.98,7450.0,7491.73,19339.885176,278971,10653.462123,6872.0
16,2018-06-11,6762.1,4940704885521.0,17086600.0,171781.749348,115368723200.0,6765.0,6922.0,6610.0,6872.0,34552.162303,203442,18716.667057,6530.0
17,2018-06-12,6879.31,4940704885521.0,17088812.5,171893.198198,116844755468.75,6872.0,6890.51,6435.0,6530.0,36722.211191,224658,19299.735508,6292.78
18,2018-06-13,6553.0,4940704885521.0,17091037.5,172044.581589,110596103662.5,6530.0,6627.6,6118.68,6292.78,46185.5181,266517,25367.243359,6635.98
19,2018-06-14,6299.89,4940704885521.0,17093262.5,172175.297459,112089068843.75,6292.78,6720.0,6260.0,6635.98,44478.130837,256384,23838.218565,6483.98
20,2018-06-16,6391.16,4940704885521.0,17095512.5,172411.645198,109650617175.0,6380.01,6560.0,6320.86,6483.98,22277.241147,140470,12750.635784,6449.61
21,2018-06-17,6488.68,4940704885521.0,17097725.0,172489.797117,111118114775.0,6482.5,6589.03,6422.0,6449.61,19847.247688,129759,11208.656933,6712.46
22,2018-06-18,6445.79,4940704885521.0,17099962.5,172567.357194,109696259437.5,6444.06,6794.38,6380.0,6712.46,31821.434995,180773,17674.592693,6741.21
23,2018-06-19,6712.5,5024546460933.97,17102175.0,172673.095076,114430652925.0,6711.39,6841.74,6653.0,6741.21,24311.421143,160490,12849.740659,6761.51
24,2018-06-20,6743.41,5077499034879.0,17104387.5,172814.466859,113213940862.5,6740.0,6817.23,6551.81,6761.51,26359.752452,166074,13647.933531,6718.84
25,2018-06-21,6760.83,5077499034879.0,17106612.5,172982.040611,115375548006.25,6763.21,6795.0,6672.57,6718.84,25428.854048,159783,15152.496274,6045.0
26,2018-06-22,6719.79,5077499034879.0,17108825.0,173085.428764,105612776725.0,6717.69,6733.97,5918.94,6045.0,52157.370833,300515,25336.720438,6149.98
27,2018-06-23,6059.3,5077499034879.0,17111062.5,173206.617086,105310704908.268,6045.92,6260.0,6008.48,6149.98,26622.788589,170164,15110.741399,6136.97
28,2018-06-24,6170.46,5077499034879.0,17113337.5,173291.084612,106188259187.5,6149.98,6259.8,5750.0,6136.97,47445.998955,275996,25966.417247,6070.78
29,2018-06-26,6249.62,5077499034879.0,17115562.5,173518.872439,106843898906.25,6252.0,6272.54,6035.0,6070.78,19377.240484,113431,9824.659592,6133.73
30,2018-06-27,6097.46,5077499034879.0,17117775.0,173675.335236,103793628712.5,6065.89,6190.43,5971.0,6133.73,19225.671098,99481,10381.014136,5853.98
31,2018-06-28,6143.97,5077499034879.0,17119987.5,173807.082201,104320643831.25,6134.73,6173.01,5827.0,5853.98,30585.266026,156241,16422.378159,6197.92
32,2018-06-29,5878.14,5077499034879.0,17122225.0,173915.481324,100695805225.0,5851.01,6300.0,5780.0,6197.92,33911.287278,212542,18727.192128,6356.81
33,2018-07-01,6408.91,5077499034879.0,17124450.0,174167.294924,108483390750.0,6391.08,6441.06,6251.0,6356.81,27562.965974,183060,15580.033848,6615.29
